"subject_id","X1__0","X2__0","X3__0","X4__0","X1__1","X2__1","X3__1","X4__1","X1__2","X2__2","X3__2","X4__2","X1__3","X2__3","X3__3","X4__3","X1__4","X2__4","X3__4","X4__4","X1__5","X2__5","X3__5","X4__5"
"0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0"
"1","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0"
"2","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0"
"4","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0"
"5","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0"
"6","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0"
"7","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0"
"8","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"9","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
