"subject_id","X0__0","X1__0","X2__0","X3__0","X4__0","X5__0","X6__0","X7__0","X8__0","X9__0","X0__1","X1__1","X2__1","X3__1","X4__1","X5__1","X6__1","X7__1","X8__1","X9__1","X0__2","X1__2","X2__2","X3__2","X4__2","X5__2","X6__2","X7__2","X8__2","X9__2","X0__3","X1__3","X2__3","X3__3","X4__3","X5__3","X6__3","X7__3","X8__3","X9__3","X0__4","X1__4","X2__4","X3__4","X4__4","X5__4","X6__4","X7__4","X8__4","X9__4"
"0","3.0","3.0","3.0","3.0","0.0","3.0","2.0","1.0","2.0","2.0","3.0","3.0","3.0","3.0","1.0","2.0","3.0","3.0","2.0","2.0","3.0","0.0","2.0","2.0","3.0","2.0","3.0","0.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","1.0","2.0","3.0","3.0","1.0","0.0","3.0","3.0","1.0","1.0","2.0","2.0"
"1","3.0","0.0","3.0","3.0","3.0","3.0","0.0","3.0","2.0","2.0","1.0","0.0","0.0","3.0","2.0","2.0","1.0","3.0","2.0","1.0","3.0","0.0","0.0","2.0","1.0","3.0","1.0","1.0","2.0","1.0","3.0","0.0","3.0","3.0","1.0","3.0","2.0","0.0","2.0","1.0","3.0","0.0","2.0","2.0","3.0","3.0","2.0","1.0","2.0","1.0"
"2","1.0","2.0","3.0","2.0","2.0","2.0","1.0","1.0","2.0","2.0","3.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","0.0","3.0","1.0","3.0","1.0","2.0","2.0","2.0","1.0","3.0","0.0","3.0","1.0","1.0","0.0","2.0","2.0","2.0","1.0","1.0","3.0","0.0","3.0","3.0","1.0","1.0","2.0","2.0","1.0","1.0","0.0","0.0"
"3","3.0","2.0","3.0","3.0","3.0","2.0","2.0","2.0","1.0","0.0","2.0","1.0","3.0","1.0","1.0","2.0","2.0","3.0","1.0","0.0","1.0","2.0","3.0","2.0","2.0","3.0","2.0","3.0","3.0","2.0","3.0","1.0","3.0","3.0","2.0","2.0","0.0","0.0","3.0","3.0","0.0","0.0","0.0","3.0","2.0","3.0","1.0","1.0","3.0","3.0"
"4","0.0","0.0","1.0","1.0","2.0","3.0","3.0","2.0","1.0","3.0","0.0","0.0","1.0","1.0","0.0","0.0","2.0","1.0","1.0","3.0","0.0","3.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","2.0","0.0","0.0","1.0","1.0","3.0","2.0","3.0","1.0","2.0","0.0","0.0","2.0","1.0","1.0","3.0","2.0","2.0","0.0","3.0","1.0"
"5","3.0","3.0","3.0","1.0","3.0","2.0","2.0","2.0","0.0","2.0","3.0","1.0","2.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","0.0","0.0","2.0","2.0","2.0","0.0","2.0","2.0","3.0","3.0","2.0","0.0","2.0","2.0","0.0","2.0","2.0","2.0","3.0","3.0","3.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0"
"6","2.0","0.0","3.0","0.0","1.0","2.0","1.0","0.0","2.0","3.0","0.0","0.0","3.0","3.0","3.0","3.0","0.0","2.0","1.0","0.0","0.0","0.0","3.0","3.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","3.0","3.0","2.0","0.0","2.0","0.0","3.0","0.0","0.0","3.0","3.0","1.0","3.0","0.0","2.0","3.0","1.0"
"7","0.0","1.0","1.0","3.0","0.0","3.0","1.0","1.0","2.0","3.0","3.0","1.0","0.0","3.0","3.0","3.0","0.0","1.0","0.0","0.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","1.0","2.0","1.0","0.0","3.0","3.0","3.0","3.0","3.0","2.0","3.0","0.0","3.0","1.0","2.0","0.0","3.0","3.0","3.0","1.0","2.0","1.0","1.0"
"8","0.0","2.0","3.0","3.0","2.0","0.0","3.0","2.0","0.0","3.0","0.0","3.0","3.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","1.0","3.0","3.0","2.0","2.0","1.0","0.0","0.0","0.0","3.0","1.0","3.0","3.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","1.0","3.0","3.0","2.0","2.0","2.0","1.0","3.0","3.0"
"9","1.0","3.0","3.0","2.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","2.0","1.0","2.0","2.0","1.0","1.0","3.0","1.0","2.0","1.0","1.0","0.0","2.0","2.0","1.0","1.0","0.0","3.0","3.0","0.0","3.0","2.0","2.0","1.0","1.0","1.0","3.0","0.0","3.0","2.0","1.0","3.0","1.0","2.0","2.0","1.0","0.0","0.0"
