"subject_id","X0__0","X1__0","X2__0","X0__1","X1__1","X2__1"
"0","0.0","2.0","1.0","1.0","1.0","0.0"
"1","2.0","0.0","0.0","1.0","2.0","2.0"
"2","2.0","0.0","1.0","1.0","2.0","2.0"
"3","0.0","2.0","1.0","1.0","1.0","1.0"
"4","0.0","2.0","0.0","1.0","1.0","0.0"
"5","1.0","1.0","2.0","2.0","0.0","1.0"
"6","1.0","1.0","1.0","2.0","2.0","0.0"
"7","2.0","1.0","0.0","0.0","2.0","2.0"
"8","1.0","1.0","1.0","1.0","0.0","2.0"
"9","2.0","1.0","0.0","0.0","1.0","2.0"
"10","2.0","2.0","0.0","0.0","1.0","2.0"
"11","0.0","2.0","2.0","1.0","1.0","1.0"
"12","1.0","0.0","1.0","2.0","0.0","0.0"
"13","2.0","2.0","0.0","1.0","2.0","2.0"
"14","2.0","2.0","0.0","0.0","1.0","2.0"
"15","1.0","1.0","1.0","2.0","2.0","1.0"
"16","0.0","1.0","2.0","2.0","0.0","1.0"
"17","1.0","1.0","1.0","0.0","0.0","1.0"
"18","0.0","0.0","2.0","1.0","2.0","1.0"
"19","0.0","0.0","2.0","1.0","2.0","1.0"
"20","1.0","2.0","2.0","0.0","2.0","0.0"
"21","1.0","0.0","1.0","2.0","1.0","2.0"
"22","1.0","1.0","0.0","2.0","0.0","2.0"
"23","1.0","2.0","1.0","2.0","0.0","0.0"
"24","1.0","1.0","1.0","1.0","2.0","0.0"
"25","2.0","1.0","0.0","0.0","2.0","2.0"
"26","0.0","2.0","0.0","1.0","1.0","1.0"
"27","0.0","2.0","2.0","2.0","1.0","2.0"
"28","2.0","0.0","0.0","0.0","2.0","1.0"
"29","1.0","2.0","2.0","1.0","1.0","1.0"
"30","2.0","0.0","1.0","0.0","2.0","0.0"
"31","1.0","1.0","0.0","2.0","0.0","1.0"
"32","0.0","2.0","2.0","1.0","1.0","1.0"
"33","2.0","0.0","2.0","0.0","2.0","0.0"
"34","0.0","2.0","0.0","1.0","1.0","2.0"
"35","0.0","2.0","2.0","1.0","1.0","2.0"
"36","1.0","1.0","1.0","2.0","0.0","0.0"
"37","0.0","1.0","2.0","0.0","0.0","1.0"
"38","2.0","1.0","0.0","0.0","2.0","1.0"
"39","0.0","1.0","1.0","1.0","0.0","2.0"
"40","0.0","2.0","2.0","1.0","0.0","2.0"
"41","2.0","0.0","2.0","0.0","2.0","0.0"
"42","1.0","1.0","1.0","2.0","0.0","0.0"
"43","1.0","0.0","1.0","0.0","0.0","0.0"
"44","2.0","2.0","0.0","0.0","0.0","1.0"
