"subject_id","X0__0","X1__0","X2__0","X3__0","X0__1","X1__1","X2__1","X3__1"
"0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","0.0"
"1","1.0","0.0","0.0","2.0","0.0","2.0","1.0","0.0"
"2","2.0","2.0","0.0","1.0","0.0","1.0","2.0","2.0"
"3","2.0","2.0","0.0","1.0","0.0","1.0","2.0","2.0"
"4","0.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0"
"5","1.0","1.0","1.0","0.0","2.0","1.0","1.0","0.0"
"6","1.0","1.0","1.0","1.0","2.0","0.0","2.0","2.0"
"7","2.0","2.0","0.0","0.0","2.0","0.0","2.0","1.0"
"8","1.0","0.0","0.0","1.0","1.0","1.0","2.0","0.0"
"9","1.0","0.0","2.0","1.0","1.0","1.0","0.0","0.0"
"10","0.0","2.0","2.0","1.0","2.0","1.0","0.0","0.0"
"11","0.0","2.0","2.0","2.0","2.0","0.0","0.0","1.0"
"12","2.0","1.0","0.0","2.0","0.0","1.0","2.0","1.0"
"13","1.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0"
"14","2.0","0.0","2.0","2.0","1.0","2.0","0.0","0.0"
"15","1.0","0.0","1.0","2.0","1.0","0.0","2.0","2.0"
"16","2.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0"
"17","2.0","2.0","2.0","0.0","1.0","0.0","1.0","2.0"
"18","1.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0"
"19","1.0","0.0","1.0","2.0","2.0","2.0","1.0","0.0"
"20","1.0","0.0","1.0","1.0","0.0","2.0","1.0","1.0"
"21","1.0","0.0","0.0","2.0","1.0","2.0","1.0","0.0"
"22","1.0","0.0","2.0","0.0","2.0","2.0","0.0","1.0"
"23","1.0","1.0","1.0","0.0","0.0","0.0","1.0","2.0"
"24","2.0","0.0","0.0","2.0","1.0","2.0","2.0","0.0"
"25","0.0","1.0","1.0","2.0","0.0","2.0","2.0","1.0"
"26","1.0","1.0","2.0","0.0","0.0","2.0","2.0","2.0"
"27","1.0","2.0","1.0","0.0","2.0","0.0","0.0","0.0"
