"subject_id","X0__0","X1__0","X2__0","X3__0","X0__1","X1__1","X2__1","X3__1","X0__2","X1__2","X2__2","X3__2","X0__3","X1__3","X2__3","X3__3","X0__4","X1__4","X2__4","X3__4","X0__5","X1__5","X2__5","X3__5"
"0","2.0","0.0","0.0","2.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","1.0","2.0","1.0","0.0","2.0","0.0","2.0","2.0","0.0","2.0"
"1","2.0","2.0","2.0","0.0","1.0","2.0","2.0","2.0","0.0","0.0","1.0","2.0","0.0","2.0","1.0","0.0","1.0","0.0","2.0","2.0","2.0","2.0","0.0","0.0"
"2","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","1.0","0.0","2.0","0.0","1.0","2.0"
"3","2.0","2.0","0.0","0.0","0.0","1.0","2.0","2.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","2.0","2.0","0.0","1.0","0.0","0.0","1.0","2.0","1.0"
"4","0.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","2.0","2.0","0.0","1.0","0.0","0.0","2.0","0.0","2.0","1.0","0.0","0.0"
"5","2.0","0.0","1.0","0.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","0.0","2.0","0.0","1.0","2.0","1.0","2.0","0.0","0.0","1.0","0.0","1.0","1.0"
"6","0.0","0.0","1.0","2.0","0.0","2.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","2.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0"
"7","2.0","2.0","2.0","0.0","0.0","0.0","1.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","0.0"
"8","2.0","2.0","1.0","0.0","2.0","0.0","2.0","2.0","1.0","2.0","2.0","0.0","2.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0"
"9","0.0","2.0","2.0","0.0","2.0","0.0","0.0","2.0","2.0","2.0","0.0","2.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0"
"10","1.0","0.0","0.0","0.0","1.0","2.0","0.0","1.0","1.0","1.0","0.0","0.0","2.0","0.0","0.0","2.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","2.0"
"11","1.0","1.0","0.0","0.0","0.0","1.0","1.0","2.0","1.0","0.0","2.0","0.0","2.0","0.0","1.0","2.0","1.0","1.0","2.0","0.0","1.0","2.0","1.0","2.0"
"12","1.0","2.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","0.0","0.0","1.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0"
"13","2.0","0.0","0.0","1.0","0.0","2.0","2.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","2.0","2.0","1.0","0.0","2.0","0.0","2.0","0.0"
"14","1.0","1.0","2.0","2.0","2.0","1.0","2.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0"
"15","1.0","0.0","0.0","1.0","0.0","1.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","1.0","1.0","2.0","0.0","2.0","0.0","0.0","0.0"
"16","0.0","1.0","2.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","0.0","1.0","2.0","2.0","1.0","2.0","1.0","1.0","2.0","0.0"
"17","2.0","0.0","2.0","2.0","2.0","2.0","2.0","0.0","2.0","0.0","1.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","0.0","0.0","1.0"
"18","2.0","0.0","0.0","1.0","0.0","2.0","2.0","2.0","2.0","0.0","0.0","2.0","0.0","0.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","2.0","2.0"
"19","1.0","0.0","0.0","2.0","1.0","2.0","0.0","2.0","1.0","0.0","1.0","0.0","2.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0"
