"subject_id","X0__0","X1__0","X2__0","X0__1","X1__1","X2__1","X0__2","X1__2","X2__2","X0__3","X1__3","X2__3","X0__4","X1__4","X2__4","X0__5","X1__5","X2__5","X0__6","X1__6","X2__6","X0__7","X1__7","X2__7","X0__8","X1__8","X2__8","X0__9","X1__9","X2__9","X0__10","X1__10","X2__10","X0__11","X1__11","X2__11"
"0","0.0","2.0","0.0","0.0","2.0","0.0","1.0","1.0","2.0","0.0","2.0","0.0","0.0","1.0","0.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0"
"1","1.0","2.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","1.0"
"2","1.0","1.0","0.0","2.0","1.0","0.0","1.0","0.0","2.0","0.0","0.0","2.0","0.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","0.0","1.0","1.0","2.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0"
"3","1.0","1.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0"
"4","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","1.0","2.0","0.0","1.0","1.0","2.0","1.0","0.0","1.0","0.0","2.0"
"5","2.0","1.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","2.0","0.0","2.0","2.0","1.0","2.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","1.0","2.0","2.0","0.0","2.0","2.0","1.0","0.0","1.0"
"6","1.0","0.0","2.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","2.0"
"7","2.0","2.0","0.0","1.0","0.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","1.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","0.0","2.0","1.0"
"8","2.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0"
"9","1.0","1.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","2.0","0.0","2.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","2.0","0.0"
