"subject_id","X0__0","X1__0","X2__0","X0__1","X1__1","X2__1","X0__2","X1__2","X2__2","X0__3","X1__3","X2__3","X0__4","X1__4","X2__4","X0__5","X1__5","X2__5"
"0","0.0","2.0","0.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","2.0"
"1","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","2.0","2.0","2.0","2.0","2.0","0.0","2.0","0.0","2.0","2.0"
"2","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","1.0"
"3","2.0","0.0","0.0","0.0","2.0","1.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","0.0"
"4","0.0","0.0","0.0","0.0","0.0","1.0","2.0","1.0","2.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0"
"5","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","2.0","1.0","0.0","0.0","1.0","2.0"
"6","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","1.0"
"7","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","2.0","2.0","2.0","2.0"
"8","0.0","1.0","2.0","1.0","2.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","0.0","2.0"
"9","2.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0"
"10","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","1.0"
"11","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","2.0","2.0","0.0","2.0"
"12","1.0","1.0","0.0","1.0","0.0","2.0","1.0","2.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","2.0"
"13","0.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","2.0"
"14","1.0","1.0","1.0","2.0","1.0","1.0","1.0","0.0","2.0","2.0","2.0","2.0","0.0","2.0","0.0","1.0","1.0","1.0"
"15","1.0","0.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0"
"16","2.0","1.0","0.0","0.0","0.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","2.0","1.0","1.0","1.0"
"17","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","2.0","1.0"
"18","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","0.0","2.0"
"19","2.0","1.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","2.0","1.0","2.0","1.0"
"20","0.0","0.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0"
"21","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0"
"22","2.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0"
"23","1.0","1.0","2.0","2.0","0.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","0.0","2.0","1.0","1.0","1.0","0.0"
"24","1.0","2.0","1.0","0.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","2.0"
"25","1.0","1.0","0.0","1.0","1.0","2.0","1.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0"
"26","2.0","1.0","0.0","0.0","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","1.0"
"27","0.0","2.0","2.0","2.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0"
"28","1.0","0.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0"
"29","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","1.0"
"30","2.0","0.0","2.0","0.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","0.0"
"31","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","2.0","1.0","2.0","0.0","1.0","0.0","0.0","1.0","2.0","2.0"
"32","0.0","1.0","2.0","0.0","1.0","0.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","2.0"
"33","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0"
"34","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","0.0","1.0","0.0","2.0","0.0","2.0","0.0","1.0","1.0","0.0"
"35","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","2.0","2.0","2.0","0.0","2.0","1.0","1.0","0.0","1.0"
"36","0.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0"
"37","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0"
"38","0.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0"
"39","0.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","2.0","2.0","1.0","1.0","0.0","2.0"
"40","2.0","0.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0","1.0","0.0","1.0"
"41","0.0","0.0","2.0","1.0","2.0","0.0","2.0","0.0","1.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0"
"42","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","1.0","2.0","1.0","0.0","0.0"
"43","0.0","0.0","0.0","2.0","2.0","0.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","0.0","2.0","1.0","2.0"
"44","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0"
"45","0.0","0.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","2.0","0.0","0.0","1.0"
"46","0.0","0.0","2.0","1.0","0.0","0.0","2.0","2.0","1.0","0.0","0.0","2.0","2.0","0.0","1.0","0.0","1.0","1.0"
"47","1.0","2.0","2.0","1.0","2.0","0.0","2.0","1.0","0.0","0.0","1.0","1.0","2.0","2.0","1.0","2.0","1.0","1.0"
"48","0.0","2.0","0.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0"
"49","0.0","1.0","2.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","2.0","2.0","0.0","2.0","1.0","2.0","0.0","2.0"
"50","1.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","0.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","2.0"
