"subject_id","label"
"1","2"
"2","2"
"3","2"
"4","2"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","2"
"18","2"
"19","2"
"20","2"
"21","2"
"22","2"
"23","2"
"24","2"
"25","2"
"26","2"
"27","2"
"28","2"
"29","1"
"30","2"
"31","2"
"32","2"
"33","2"
"34","2"
"35","2"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","2"
"49","2"
"50","2"
"51","2"
"52","2"
"53","2"
"54","1"
"55","2"
"56","2"
"57","2"
"58","2"
