"subject_id","label"
"1","6"
"2","5"
"3","4"
"4","8"
"5","6"
"6","3"
"7","2"
"8","8"
"9","8"
"10","3"
"11","7"
"12","8"
"13","8"
"14","1"
"15","5"
"16","7"
"17","8"
"18","1"
"19","2"
"20","2"
"21","5"
"22","2"
"23","1"
"24","5"
"25","6"
"26","4"
"27","8"
"28","5"
"29","5"
"30","7"
"31","5"
"32","1"
"33","1"
"34","5"
"35","6"
"36","3"
"37","6"
"38","8"
"39","1"
"40","2"
"41","7"
"42","6"
"43","4"
"44","7"
"45","3"
"46","6"
"47","8"
"48","6"
"49","5"
"50","8"
"51","4"
"52","5"
"53","4"
"54","6"
"55","5"
"56","5"
"57","6"
"58","7"
"59","1"
"60","1"
"61","2"
"62","6"
"63","4"
"64","6"
"65","6"
"66","5"
"67","1"
"68","7"
"69","7"
"70","8"
"71","7"
"72","7"
"73","3"
"74","5"
"75","5"
"76","3"
"77","4"
"78","2"
"79","4"
"80","1"
"81","2"
"82","8"
"83","3"
"84","5"
"85","3"
"86","8"
"87","7"
"88","6"
"89","3"
"90","2"
"91","4"
"92","5"
"93","7"
"94","1"
"95","7"
"96","2"
"97","1"
"98","4"
"99","4"
"100","1"
"101","3"
"102","3"
"103","1"
"104","4"
"105","6"
"106","1"
"107","3"
"108","5"
"109","6"
"110","4"
"111","5"
"112","5"
"113","8"
"114","3"
"115","7"
"116","2"
"117","7"
"118","6"
"119","8"
"120","5"
"121","1"
"122","8"
"123","3"
"124","8"
"125","2"
"126","4"
"127","8"
"128","2"
"129","7"
"130","2"
"131","2"
"132","8"
"133","5"
"134","3"
"135","7"
"136","1"
"137","2"
"138","4"
"139","3"
"140","1"
"141","6"
"142","5"
"143","7"
"144","2"
"145","4"
"146","1"
"147","7"
"148","1"
"149","8"
"150","4"
"151","4"
"152","2"
"153","1"
"154","4"
"155","8"
"156","3"
"157","3"
"158","4"
"159","2"
"160","1"
"161","6"
"162","4"
"163","6"
"164","4"
"165","6"
"166","8"
"167","4"
"168","5"
"169","3"
"170","2"
"171","3"
"172","6"
"173","7"
"174","7"
"175","3"
"176","7"
"177","2"
"178","7"
"179","2"
"180","1"
"181","8"
"182","6"
"183","3"
"184","4"
"185","7"
"186","2"
"187","5"
"188","2"
"189","7"
"190","3"
"191","1"
"192","4"
"193","2"
"194","8"
"195","8"
"196","6"
"197","3"
"198","6"
"199","3"
"200","1"
"201","5"
"202","3"
"203","7"
"204","4"
"205","4"
"206","1"
"207","7"
"208","5"
"209","2"
"210","6"
"211","1"
"212","6"
"213","1"
"214","6"
"215","1"
"216","7"
"217","7"
"218","6"
"219","2"
"220","6"
"221","2"
"222","4"
"223","5"
"224","6"
"225","8"
"226","1"
"227","7"
"228","5"
"229","6"
"230","6"
"231","1"
"232","1"
"233","5"
"234","4"
"235","4"
"236","7"
"237","4"
"238","1"
"239","8"
"240","2"
"241","1"
"242","3"
"243","8"
"244","1"
"245","4"
"246","1"
"247","1"
"248","7"
"249","5"
"250","5"
"251","2"
"252","7"
"253","2"
"254","1"
"255","7"
"256","1"
"257","6"
"258","5"
"259","3"
"260","7"
"261","1"
"262","6"
"263","2"
"264","7"
"265","1"
"266","6"
"267","3"
"268","4"
"269","3"
"270","8"
"271","3"
"272","2"
"273","8"
"274","8"
"275","8"
"276","8"
"277","2"
"278","2"
"279","5"
"280","2"
"281","3"
"282","4"
"283","4"
"284","7"
"285","7"
"286","4"
"287","5"
"288","4"
"289","6"
"290","5"
"291","4"
"292","4"
"293","6"
"294","2"
"295","6"
"296","3"
"297","3"
"298","5"
"299","5"
"300","3"
"301","6"
"302","5"
"303","4"
"304","6"
"305","8"
"306","5"
"307","8"
"308","5"
"309","5"
"310","8"
"311","2"
"312","7"
"313","1"
"314","2"
"315","4"
"316","2"
"317","3"
"318","8"
"319","7"
"320","4"
"321","3"
"322","1"
"323","3"
"324","3"
"325","8"
"326","6"
"327","2"
"328","5"
"329","2"
"330","2"
"331","2"
"332","4"
"333","5"
"334","7"
"335","1"
"336","1"
"337","6"
"338","1"
"339","6"
"340","1"
"341","3"
"342","2"
"343","7"
"344","2"
"345","5"
"346","5"
"347","7"
"348","7"
"349","8"
"350","4"
"351","2"
"352","1"
"353","1"
"354","4"
"355","3"
"356","2"
"357","8"
"358","4"
"359","6"
"360","3"
"361","4"
"362","1"
"363","8"
"364","6"
"365","2"
"366","4"
"367","1"
"368","8"
"369","8"
"370","4"
"371","4"
"372","2"
"373","2"
"374","1"
"375","4"
"376","8"
"377","5"
"378","6"
"379","5"
"380","3"
"381","3"
"382","4"
"383","3"
"384","6"
"385","3"
"386","6"
"387","1"
"388","3"
"389","7"
"390","2"
"391","5"
"392","3"
"393","8"
"394","2"
"395","8"
"396","6"
"397","7"
"398","4"
"399","1"
"400","3"
"401","7"
"402","4"
