"","H0__0","H1__0","H0__1","H1__1"
"0","0.0","0.0","1.0","0.0"
"1","1.0","0.0","0.0","0.0"
"2","1.0","0.0","0.0","0.0"
"3","1.0","0.0","0.0","0.0"
"4","1.0","0.0","0.0","0.0"
"5","1.0","0.0","0.0","0.0"
"6","0.0","0.0","1.0","0.0"
"7","1.0","0.0","0.0","0.0"
"8","1.0","0.0","0.0","0.0"
"9","1.0","0.0","0.0","0.0"
"10","1.0","0.0","0.0","0.0"
"11","1.0","0.0","0.0","0.0"
"12","1.0","0.0","0.0","0.0"
"13","1.0","0.0","0.0","0.0"
"14","1.0","0.0","0.0","0.0"
"15","1.0","0.0","0.0","0.0"
"16","1.0","0.0","0.0","0.0"
"17","1.0","0.0","0.0","0.0"
"18","1.0","0.0","0.0","0.0"
"19","1.0","0.0","0.0","0.0"
"20","0.0","0.0","1.0","0.0"
"21","0.0","0.0","0.0","0.0"
"22","1.0","0.0","1.0","0.0"
"23","0.0","0.0","1.0","0.0"
"24","1.0","0.0","0.0","0.0"
"25","0.0","0.0","1.0","0.0"
"26","0.0","0.0","0.0","0.0"
"27","0.0","0.0","1.0","0.0"
"28","0.0","0.0","1.0","0.0"
"29","0.0","0.0","1.0","0.0"
"30","0.0","0.0","1.0","0.0"
"31","0.0","0.0","1.0","0.0"
"32","0.0","0.0","0.0","0.0"
"33","0.0","0.0","1.0","0.0"
"34","0.0","0.0","1.0","0.0"
"35","1.0","0.0","0.0","0.0"
"36","0.0","0.0","1.0","0.0"
"37","0.0","0.0","1.0","0.0"
"38","1.0","0.0","1.0","0.0"
"39","1.0","0.0","0.0","0.0"
"40","1.0","0.0","1.0","0.0"
"41","0.0","0.0","1.0","0.0"
"42","0.0","0.0","1.0","0.0"
"43","0.0","0.0","1.0","0.0"
"44","1.0","0.0","0.0","0.0"
"45","0.0","0.0","1.0","0.0"
"46","0.0","0.0","0.0","0.0"
"47","1.0","0.0","0.0","0.0"
"48","1.0","0.0","0.0","0.0"
"49","0.0","0.0","1.0","0.0"
"50","1.0","0.0","0.0","0.0"
"51","1.0","0.0","0.0","0.0"
"52","0.0","0.0","1.0","0.0"
"53","0.0","0.0","1.0","0.0"
"54","1.0","0.0","0.0","0.0"
"55","1.0","0.0","0.0","0.0"
"56","1.0","0.0","0.0","0.0"
"57","1.0","0.0","0.0","0.0"
"58","0.0","0.0","0.0","0.0"
"59","1.0","0.0","0.0","0.0"
"60","1.0","0.0","0.0","0.0"
"61","1.0","0.0","0.0","0.0"
"62","0.0","0.0","1.0","0.0"
"63","0.0","0.0","1.0","0.0"
"64","1.0","0.0","0.0","0.0"
"65","0.0","0.0","0.0","0.0"
"66","0.0","0.0","1.0","0.0"
"67","0.0","0.0","0.0","0.0"
"68","1.0","0.0","0.0","0.0"
"69","1.0","0.0","0.0","0.0"
"70","1.0","0.0","0.0","0.0"
"71","1.0","0.0","0.0","0.0"
"72","0.0","0.0","1.0","0.0"
"73","1.0","0.0","0.0","0.0"
"74","1.0","0.0","1.0","0.0"
"75","1.0","0.0","0.0","0.0"
"76","1.0","0.0","0.0","0.0"
"77","1.0","0.0","0.0","0.0"
"78","1.0","0.0","1.0","0.0"
"79","1.0","0.0","0.0","0.0"
"80","1.0","0.0","0.0","0.0"
"81","1.0","0.0","0.0","0.0"
"82","1.0","0.0","1.0","0.0"
"83","1.0","0.0","0.0","0.0"
"84","0.0","0.0","1.0","0.0"
"85","0.0","0.0","1.0","0.0"
"86","0.0","0.0","0.0","0.0"
"87","1.0","0.0","0.0","0.0"
"88","0.0","0.0","1.0","0.0"
"89","1.0","0.0","0.0","0.0"
"90","0.0","0.0","1.0","0.0"
"91","1.0","0.0","0.0","0.0"
"92","1.0","0.0","0.0","0.0"
"93","1.0","0.0","0.0","0.0"
"94","0.0","0.0","0.0","0.0"
"95","1.0","0.0","1.0","0.0"
"96","1.0","0.0","1.0","0.0"
"97","0.0","0.0","1.0","0.0"
"98","1.0","0.0","1.0","0.0"
"99","0.0","0.0","0.0","0.0"
"100","0.0","0.0","1.0","0.0"
"101","1.0","0.0","1.0","0.0"
"102","0.0","0.0","1.0","0.0"
"103","1.0","0.0","0.0","0.0"
"104","1.0","0.0","0.0","0.0"
"105","1.0","0.0","0.0","0.0"
"106","0.0","0.0","1.0","0.0"
"107","0.0","0.0","1.0","0.0"
"108","1.0","0.0","0.0","0.0"
"109","0.0","0.0","1.0","0.0"
"110","1.0","0.0","0.0","0.0"
"111","0.0","0.0","1.0","0.0"
"112","0.0","0.0","1.0","0.0"
"113","0.0","0.0","0.0","0.0"
"114","0.0","0.0","1.0","0.0"
"115","0.0","0.0","1.0","0.0"
"116","0.0","0.0","1.0","0.0"
"117","0.0","0.0","1.0","0.0"
"118","0.0","0.0","1.0","0.0"
"119","0.0","0.0","1.0","0.0"
"120","1.0","0.0","0.0","0.0"
"121","1.0","0.0","0.0","0.0"
"122","1.0","0.0","0.0","0.0"
"123","1.0","0.0","0.0","0.0"
"124","1.0","0.0","0.0","0.0"
"125","1.0","0.0","0.0","0.0"
"126","1.0","0.0","0.0","0.0"
"127","0.0","0.0","1.0","0.0"
"128","0.0","0.0","1.0","0.0"
"129","1.0","0.0","0.0","0.0"
"130","0.0","0.0","1.0","0.0"
"131","0.0","0.0","0.0","0.0"
"132","1.0","0.0","0.0","0.0"
"133","0.0","0.0","0.0","0.0"
"134","1.0","0.0","1.0","0.0"
"135","0.0","0.0","1.0","0.0"
"136","0.0","0.0","0.0","0.0"
"137","0.0","0.0","1.0","0.0"
"138","1.0","0.0","0.0","0.0"
"139","0.0","0.0","1.0","0.0"
"140","1.0","0.0","0.0","0.0"
"141","0.0","0.0","1.0","0.0"
"142","0.0","0.0","1.0","0.0"
"143","1.0","0.0","0.0","0.0"
"144","0.0","0.0","0.0","0.0"
"145","1.0","0.0","0.0","0.0"
"146","1.0","0.0","0.0","0.0"
"147","1.0","0.0","0.0","0.0"
"148","1.0","0.0","0.0","0.0"
"149","1.0","0.0","0.0","0.0"
"150","0.0","0.0","1.0","0.0"
"151","0.0","0.0","1.0","0.0"
"152","0.0","0.0","1.0","0.0"
"153","0.0","0.0","1.0","0.0"
"154","0.0","0.0","1.0","0.0"
"155","0.0","0.0","0.0","0.0"
"156","1.0","0.0","0.0","0.0"
"157","1.0","0.0","0.0","0.0"
"158","1.0","0.0","0.0","0.0"
"159","1.0","0.0","0.0","0.0"
"160","1.0","0.0","0.0","0.0"
"161","0.0","0.0","1.0","0.0"
"162","0.0","0.0","1.0","0.0"
"163","0.0","0.0","1.0","0.0"
"164","1.0","0.0","0.0","0.0"
"165","1.0","0.0","0.0","0.0"
"166","1.0","0.0","0.0","0.0"
"167","0.0","0.0","1.0","0.0"
"168","1.0","0.0","0.0","0.0"
"169","0.0","0.0","1.0","0.0"
"170","0.0","0.0","0.0","0.0"
"171","0.0","0.0","1.0","0.0"
"172","1.0","0.0","0.0","0.0"
"173","1.0","0.0","0.0","0.0"
"174","0.0","0.0","1.0","0.0"
"175","1.0","0.0","0.0","0.0"
"176","1.0","0.0","0.0","0.0"
"177","1.0","0.0","0.0","0.0"
"178","0.0","0.0","1.0","0.0"
"179","1.0","0.0","0.0","0.0"
"180","1.0","0.0","0.0","0.0"
"181","0.0","0.0","1.0","0.0"
"182","1.0","0.0","0.0","0.0"
"183","0.0","0.0","1.0","0.0"
"184","0.0","0.0","1.0","0.0"
"185","1.0","0.0","0.0","0.0"
"186","0.0","0.0","1.0","0.0"
"187","0.0","0.0","1.0","0.0"
"188","0.0","0.0","1.0","0.0"
"189","1.0","0.0","0.0","0.0"
"190","0.0","0.0","1.0","0.0"
"191","0.0","0.0","0.0","0.0"
"192","1.0","0.0","0.0","0.0"
"193","0.0","0.0","1.0","0.0"
"194","0.0","0.0","0.0","0.0"
"195","0.0","0.0","0.0","0.0"
"196","1.0","0.0","0.0","0.0"
"197","0.0","0.0","1.0","0.0"
"198","1.0","0.0","0.0","0.0"
"199","0.0","0.0","1.0","0.0"
"200","1.0","0.0","0.0","0.0"
"201","0.0","0.0","0.0","0.0"
"202","0.0","0.0","1.0","0.0"
"203","0.0","0.0","1.0","0.0"
"204","0.0","0.0","1.0","0.0"
"205","1.0","0.0","0.0","0.0"
"206","0.0","0.0","0.0","0.0"
"207","0.0","0.0","0.0","0.0"
"208","0.0","0.0","0.0","0.0"
"209","1.0","0.0","0.0","0.0"
"210","0.0","0.0","1.0","0.0"
"211","1.0","0.0","0.0","0.0"
"212","0.0","0.0","0.0","0.0"
"213","0.0","0.0","0.0","0.0"
"214","0.0","0.0","1.0","0.0"
"215","0.0","0.0","1.0","0.0"
"216","0.0","0.0","1.0","0.0"
"217","0.0","0.0","1.0","0.0"
"218","1.0","0.0","0.0","0.0"
"219","0.0","0.0","1.0","0.0"
"220","1.0","0.0","0.0","0.0"
"221","0.0","0.0","0.0","0.0"
"222","1.0","0.0","0.0","0.0"
"223","0.0","0.0","1.0","0.0"
"224","0.0","0.0","1.0","0.0"
"225","0.0","0.0","1.0","0.0"
"226","0.0","0.0","0.0","0.0"
"227","1.0","0.0","0.0","0.0"
"228","0.0","0.0","1.0","0.0"
"229","1.0","0.0","0.0","0.0"
"230","1.0","0.0","0.0","0.0"
"231","0.0","0.0","1.0","0.0"
"232","0.0","0.0","1.0","0.0"
"233","0.0","0.0","1.0","0.0"
"234","0.0","0.0","1.0","0.0"
"235","0.0","0.0","1.0","0.0"
"236","1.0","0.0","0.0","0.0"
"237","1.0","0.0","0.0","0.0"
"238","0.0","0.0","0.0","0.0"
"239","1.0","0.0","0.0","0.0"
"240","0.0","0.0","1.0","0.0"
"241","0.0","0.0","0.0","0.0"
"242","1.0","0.0","0.0","0.0"
"243","0.0","0.0","0.0","0.0"
"244","1.0","0.0","0.0","0.0"
"245","1.0","0.0","0.0","0.0"
"246","0.0","0.0","0.0","0.0"
"247","0.0","0.0","1.0","0.0"
"248","0.0","0.0","0.0","0.0"
"249","0.0","0.0","1.0","0.0"
"250","1.0","0.0","0.0","0.0"
"251","1.0","0.0","0.0","0.0"
"252","1.0","0.0","0.0","0.0"
"253","1.0","0.0","0.0","0.0"
"254","0.0","0.0","0.0","0.0"
"255","1.0","0.0","0.0","0.0"
"256","0.0","0.0","1.0","0.0"
"257","0.0","0.0","1.0","0.0"
"258","1.0","0.0","0.0","0.0"
"259","0.0","0.0","1.0","0.0"
"260","0.0","0.0","1.0","0.0"
"261","1.0","0.0","0.0","0.0"
"262","0.0","0.0","0.0","0.0"
"263","1.0","0.0","0.0","0.0"
"264","0.0","0.0","0.0","0.0"
"265","0.0","0.0","0.0","0.0"
"266","1.0","0.0","0.0","0.0"
"267","0.0","0.0","1.0","0.0"
"268","0.0","0.0","0.0","0.0"
